source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,event_id,old_source_mat_id
EMOBON_EMT21_Wa_17,EMOBON00145,,ERS20569035,ERX14293780,,ERR14888789,,PRJEB51653,PRJEB51688,SAMEA115828518,EMT21_Wa_211020,EMOBON_EMT21_Wa_211020_3um_2
EMOBON_EMT21_Wa_21,EMOBON00146,,ERS20569036,ERX14293781,,ERR14888790,,PRJEB51653,PRJEB51688,SAMEA115828519,EMT21_Wa_211020,EMOBON_EMT21_Wa_211020_0.2um_1
EMOBON_EMT21_Wa_22,EMOBON00147,,ERS20569037,ERX14293782,,ERR14888791,,PRJEB51653,PRJEB51688,SAMEA115828520,EMT21_Wa_211020,EMOBON_EMT21_Wa_211020_0.2um_2
EMOBON_EMT21_Wa_31,EMOBON00148,,ERS20569038,ERX14293783,,ERR14888792,,PRJEB51653,PRJEB51688,SAMEA115828521,EMT21_Wa_211216,EMOBON_EMT21_Wa_211216_3um_1
EMOBON_EMT21_Wa_32,EMOBON00149,,ERS20569039,ERX14293784,,ERR14888793,,PRJEB51653,PRJEB51688,SAMEA115828522,EMT21_Wa_211216,EMOBON_EMT21_Wa_211216_3um_2
EMOBON_EMT21_Wa_36,EMOBON00150,,ERS20569040,ERX14293785,,ERR14888794,,PRJEB51653,PRJEB51688,SAMEA115828523,EMT21_Wa_211216,EMOBON_EMT21_Wa_211216_0.2um_1
EMOBON_EMT21_Wa_37,EMOBON00151,,ERS20569041,ERX14293786,,ERR14888795,,PRJEB51653,PRJEB51688,SAMEA115828524,EMT21_Wa_211216,EMOBON_EMT21_Wa_211216_0.2um_2
EMOBON_ESC68N_Wa_11,EMOBON00196,,ERS20569061,ERX14293591,,ERR14888600,,PRJEB51654,PRJEB51688,SAMEA115828544,ESC68N_Wa_211104,EMOBON_ESC68N_Wa_211104_3um_1
EMOBON_ESC68N_Wa_14,EMOBON00199,,ERS20569062,ERX14293592,,ERR14888601,,PRJEB51654,PRJEB51688,SAMEA115828545,ESC68N_Wa_211104,EMOBON_ESC68N_Wa_211104_0.2um_2
EMOBON_IUIEilat_Wa_11,EMOBON00120,,ERS20568977,ERX14293669,,ERR14888678,,PRJEB51656,PRJEB51688,SAMEA115828460,IUIEilat1_Wa_211018,EMOBON_IUIEilat1_Wa_211018_0.2um_1
EMOBON_IUIEilat_Wa_12,EMOBON00121,,ERS20568978,ERX14293670,,ERR14888679,,PRJEB51656,PRJEB51688,SAMEA115828461,IUIEilat1_Wa_211018,EMOBON_IUIEilat1_Wa_211018_0.2um_2
EMOBON_IUIEilat_Wa_15,EMOBON00122,,ERS20568979,ERX14293671,,ERR14888680,,PRJEB51656,PRJEB51688,SAMEA115828462,IUIEilat1_Wa_211018,EMOBON_IUIEilat1_Wa_211018_3um_1
EMOBON_IUIEilat_Wa_16,EMOBON00123,,ERS20568980,ERX14293672,,ERR14888681,,PRJEB51656,PRJEB51688,SAMEA115828463,IUIEilat1_Wa_211018,EMOBON_IUIEilat1_Wa_211018_3um_2
EMOBON_IUIEilat_Wa_21,EMOBON00124,,ERS20568981,ERX14293673,,ERR14888682,,PRJEB51656,PRJEB51688,SAMEA115828464,IUIEilat1_Wa_211219,EMOBON_IUIEilat1_Wa_211219_0.2um_1
