ref_code,source_material_id_orig,source_material_id
EMOBON00300,EMOBON_EMT21_Wa_220824_3um_2,EMOBON_EMT21_Wa_92
EMOBON00301,EMOBON_EMT21_Wa_220824_0.2um_1,EMOBON_EMT21_Wa_96
EMOBON00302,EMOBON_EMT21_Wa_220824_0.2um_2,EMOBON_EMT21_Wa_97
EMOBON00303,EMOBON_MBAL4_Wa_220301_3um_1,EMOBON_MBAL4_Wa_21
EMOBON00304,EMOBON_MBAL4_Wa_220301_3um_2,EMOBON_MBAL4_Wa_22
EMOBON00305,EMOBON_MBAL4_Wa_220301_0.2um_1,EMOBON_MBAL4_Wa_23
EMOBON00306,EMOBON_MBAL4_Wa_220301_0.2um_2,EMOBON_MBAL4_Wa_24
EMOBON00307,EMOBON_MBAL4_Wa_220427_3um_1,EMOBON_MBAL4_Wa_31
EMOBON00308,EMOBON_MBAL4_Wa_220427_3um_2,EMOBON_MBAL4_Wa_32
EMOBON00309,EMOBON_MBAL4_Wa_220427_0.2um_1,EMOBON_MBAL4_Wa_33
EMOBON00310,EMOBON_MBAL4_Wa_220427_0.2um_2,EMOBON_MBAL4_Wa_34
EMOBON00311,EMOBON_MBAL4_Wa_220427_3um_blank,EMOBON_MBAL4_Wa_39
EMOBON00312,EMOBON_MBAL4_Wa_220427_0.2um_blank,EMOBON_MBAL4_Wa_40
EMOBON00313,EMOBON_MBAL4_Wa_220616_3um_1,EMOBON_MBAL4_Wa_41
EMOBON00314,EMOBON_MBAL4_Wa_220616_3um_2,EMOBON_MBAL4_Wa_42
EMOBON00315,EMOBON_MBAL4_Wa_220616_0.2um_1,EMOBON_MBAL4_Wa_43
EMOBON00316,EMOBON_MBAL4_Wa_220616_0.2um_2,EMOBON_MBAL4_Wa_44
EMOBON00317,EMOBON_MBAL4_Wa_220912_3um_1,EMOBON_MBAL4_Wa_51
EMOBON00318,EMOBON_MBAL4_Wa_220912_3um_2,EMOBON_MBAL4_Wa_52
EMOBON00319,EMOBON_MBAL4_Wa_220912_0.2um_1,EMOBON_MBAL4_Wa_53
EMOBON00320,EMOBON_MBAL4_Wa_220912_0.2um_2,EMOBON_MBAL4_Wa_54
EMOBON00321,EMOBON_AAOT_Wa_220214_3um_1,EMOBON_AAOT_Wa_81
